gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
311,1660,south,28,49,1660,10.67242342,0.655417268,NA,0.873135269,12.98674522,13.1838398,12.90897465,0.07777057,0.27486515,0.830000455,09-28-21,299,28.11451401,27.52953125,27.52953125,2.051753389,25.64154297,36.72582031,M8.107,MAGIC family 8,311,control
311,1660,south,28,49,1660,6.929205686,0.775051692,NA,0.897996724,15.98183858,16.21105003,15.80339813,0.178440449,0.407651901,1.236450575,08-24-21,300,38.49665189,37.10125,37.10125,3.749456618,34.34921875,51.02654297,M8.107,MAGIC family 8,311,control
311,1660,south,28,49,1660,4.609088507,0.763630026,0.800893515,0.889843941,16.13476157,16.35321426,15.86766815,0.267093413,0.485546112,1.231057182,08-10-21,301,27.22743888,25.37439453,25.37439453,5.265152376,21.50792969,43.95013672,M8.107,MAGIC family 8,311,control
311,1660,south,28,49,1660,0.26152936,0.614932026,0.613086164,0.75912106,14.71873447,14.72874451,14.70925426,0.009480201,0.019490242,0.002479351,07-06-21,NA,NA,NA,NA,NA,NA,NA,M8.107,MAGIC family 8,311,control
201,1661,south,29,49,1661,12.89010816,0.762784684,NA,0.899174511,13.17102034,13.37544727,12.92430878,0.246711559,0.451138496,3.180138683,09-28-21,306,26.06577397,26.08175781,26.08175781,0.661678438,24.46650391,27.41697266,M5.96,MAGIC family 5,201,control
201,1661,south,29,49,1661,9.88694684,0.842569512,NA,0.928844452,16.10360328,16.36331558,15.80973005,0.293873232,0.553585529,2.905509022,08-24-21,324,36.35155201,36.20862305,36.20862305,0.78528155,35.01388672,40.88013672,M5.96,MAGIC family 5,201,control
201,1661,south,29,49,1661,0.22764946,0.607318121,0.607782274,0.728039682,14.71141424,14.71921539,14.70179081,0.009623426,0.017424583,0.002190768,07-06-21,NA,NA,NA,NA,NA,NA,NA,M5.96,MAGIC family 5,201,control
201,1661,south,29,49,1661,6.465871323,0.810449147,0.849784493,0.910538971,16.17609003,16.3935051,15.86501312,0.31107691,0.528491974,2.011383269,08-10-21,292,23.13457239,22.38328125,22.38328125,2.111713564,20.68269531,32.79132813,M5.96,MAGIC family 5,201,control
103,1662,south,30,49,1662,7.58958282,0.799088684,NA,0.892590523,15.96929187,16.15605545,15.80319738,0.166094491,0.352858067,1.260587892,08-24-21,303,37.81178057,37.75982422,37.75982422,1.049586431,35.50361328,41.24197266,M2.132,MAGIC family 2,103,control
103,1662,south,30,49,1662,7.99621382,0.658972234,NA,0.870848596,13.0050231,13.1445837,12.91742992,0.087593177,0.227153778,0.700413776,09-28-21,290,28.30647912,27.87999023,27.87999023,1.258817758,26.19783203,33.94146484,M2.132,MAGIC family 2,103,control
103,1662,south,30,49,1662,0.488480263,0.646692982,0.655209899,0.791484594,14.70037078,14.71263695,14.69277191,0.007598868,0.019865036,0.003711897,07-06-21,NA,NA,NA,NA,NA,NA,NA,M2.132,MAGIC family 2,103,control
103,1662,south,30,49,1662,6.156881987,0.799142938,0.83121419,0.895556688,16.10174716,16.33566475,15.87066174,0.231085424,0.465003014,1.422765686,08-10-21,301,23.14466524,22.30314453,22.30314453,2.763148244,20.24193359,35.00291016,M2.132,MAGIC family 2,103,control
8,1663,south,31,49,1663,7.747189816,0.818421434,0.843649626,0.906140268,16.1898884,16.36975479,15.88327217,0.306616231,0.48648262,2.375414142,08-10-21,301,21.29217511,20.42076172,20.42076172,2.687038983,19.16345703,37.82753906,UCD 9634,MAGIC parent,8,control
8,1663,south,31,49,1663,9.225956258,0.801719562,NA,0.88510257,16.05682494,16.30761719,15.80538464,0.251440305,0.502232552,2.319777254,08-24-21,290,36.55027283,36.35087891,36.35087891,0.754248454,35.50994141,41.37447266,UCD 9634,MAGIC parent,8,control
8,1663,south,31,49,1663,9.670630064,0.647432119,NA,0.849339366,13.09698194,13.26098919,12.928123,0.168858947,0.332866192,1.632972405,09-28-21,293,28.09175808,27.95302734,27.95302734,0.772970808,26.89826172,32.968125,UCD 9634,MAGIC parent,8,control
8,1663,south,31,49,1663,0.77020474,0.662276932,0.675836921,0.797611773,14.69310996,14.71157074,14.67868233,0.014427636,0.032888412,0.011112233,07-06-21,NA,NA,NA,NA,NA,NA,NA,UCD 9634,MAGIC parent,8,control
226,1684,south,18,50,1684,2.986573227,0.769861241,NA,0.902958691,15.95626669,16.18319702,15.76036167,0.195905016,0.42283535,0.585084677,08-24-21,288,43.26320441,44.40348633,44.40348633,6.789835032,33.77482422,53.00441406,M6.38,MAGIC family 6,226,control
226,1684,south,18,50,1684,1.707296278,0.767951375,0.808697462,0.882826746,16.0124476,16.23709679,15.80438519,0.208062414,0.432711601,0.355224186,08-10-21,304,38.08877705,41.45657227,NA,6.898822882,24.41529297,48.1715625,M6.38,MAGIC family 6,226,control
226,1684,south,18,50,1684,0.024264962,0.585958142,0.585786343,0.697801769,14.76558158,14.77176476,14.75373507,0.011846516,0.01802969,0.000287455,07-06-21,NA,NA,NA,NA,NA,NA,NA,M6.38,MAGIC family 6,226,control
226,1684,south,18,50,1684,6.240235535,0.637741949,NA,0.878048182,12.85055352,13.06473351,12.78624439,0.064309128,0.278489113,0.401304104,09-28-21,312,28.82130672,29.52375977,29.52375977,2.308816389,24.58892578,32.82011719,M6.38,MAGIC family 6,226,control
